individual,group,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Sierra Leone,Afrotropics,0,1.238645804,0,1.364980389,0,0.015705692,0,0.032760644,0,0,0,0
Republic of the Congo,Afrotropics,0.242412303,0.002713739,0.00608224,0,1.290726437,0.148910588,0.032129075,0,1.328017756,0.320934626,0.000340146,0
Ethiopia,Afrotropics,0.643423424,1.23189563,1.055877059,1.099507173,0.085862153,0.199034488,0.114234765,0.071670928,0.02544155,0.079391731,0.039958432,0.051897182
Tanzania,Afrotropics,0.988357864,0.004064276,1.502366532,0.356941487,0.471001465,0,0.588330785,0.05219903,0.079391731,0,0.198172915,0
Gabon,Afrotropics,0.000340146,0.000340146,0,0.000340146,0.460051172,0.439641495,0.010754674,0.003727036,1.604408187,1.134058394,0.064690832,0.115018791
Mozambique,Afrotropics,1.540350106,0.01141808,1.349113938,0.343419906,0.00507443,0,0.012080474,0,0,0,0.00608224,0
Liberia,Afrotropics,0.001698073,1.57992107,0.003727036,1.388641302,0,0.180572484,0,0.183481535,0,0.003727036,0,0.020925296
Ghana,Afrotropics,1.213496602,0.341564134,0.943125461,0.57919168,1.425125066,0.311238638,0.800186378,0.220855671,0.547677534,0.015048808,0.236530885,0.013072175
Nigeria,Afrotropics,0.026403239,0.815492725,0.00101964,0.222693492,0.833335367,1.582980764,0.07768782,0.745877501,0.875611253,1.189910604,0.005410627,0.346954788
Cameroon,Afrotropics,0.22996798,1.010070656,0.167813529,0.844040609,1.452043016,1.365171244,0.544386887,0.901341945,1.362919696,0.855391225,0.03433556,0.512234245
